21T_CCS-2_Day8_1-C11_11Jan18_Leopard_Infuse-qb,FTICR_ID,Sample_Type,CoreID,CoreNo,Site,Treatment,Suction,Pore Size Domain,SampleID,Water Soluble Organic Carbon (mg/L),NPOC (M/L),,,,,,,,,,,,,,
21T_CCS-2_Day10_1-D7-rr_400scans,1-D7,ref,D7,7,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D7,81.3,6.77E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_1-D7_08Jan18_Leopard_Infuse-qb,1-D7,ref,D7,7,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D7,81.3,6.77E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_1-D7_08Jan18_Leopard_Infuse-qb,1-D7,ref,D7,7,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D7,81.3,6.77E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-D7_11Jan18_Leopard_Infuse-qb,1-D7,ref,D7,7,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D7,81.3,6.77E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-D7-rr_400scans,1-D7,ref,D7,7,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D7,81.3,6.77E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-D7_15Jan18_Leopard_Infuse-qb,1-D7,ref,D7,7,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D7,81.3,6.77E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_1-D7_08Jan18_Leopard_Infuse-qb,1-D7,sample,D7,7,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D7,81.3,6.77E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-D8_04Jan18_Leopard_Infuse-qb,1-D8,sample,D8,8,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D8,49.4,4.12E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_1-D9_08Jan18_Leopard_Infuse-qb,1-D9,sample,D9,9,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D9,10.3,8.60E-04,,,,,,,,,,,,,,
21T_CCS-2_Day1_1-D10_04Jan18_Leopard_Infuse-qb,1-D10,sample,D10,10,DWP,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-D10,134.1,1.12E-02,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-S4_15Jan18_Leopard_Infuse-qb,1-S4,sample,S4,4,SR,Drought Incubation,1.5 kPa,> 300 µm,1.5-S4,13,1.09E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-S5_11Jan18_Leopard_Infuse-qb,1-S5,sample,S5,5,SR,Drought Incubation,1.5 kPa,> 300 µm,1.5-S5,9.4,7.81E-04,,,,,,,,,,,,,,
21T_CCS-2_Day5_1-S10-rr_400scans,1-S10,sample,S10,10,SR,Drought Incubation,1.5 kPa,> 300 µm,1.5-S10,15.9,1.32E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-S14_04Jan18_Leopard_Infuse-qb,1-S14,sample,S14,14,SR,Drought Incubation,1.5 kPa,> 300 µm,1.5-S14,22.2,1.85E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_1-S25_08Jan18_Leopard_Infuse-qb,1-S25,sample,S25,25,SR,Drought Incubation,1.5 kPa,> 300 µm,1.5-S25,9,7.51E-04,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-S1_11Jan18_Leopard_Infuse-qb,1-S1,sample,S1,1,SR,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-S1,23.5,1.95E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-S13_15Jan18_Leopard_Infuse-qb,1-S13,sample,S13,13,SR,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-S13,12.9,1.07E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-S15_04Jan18_Leopard_Infuse-qb,1-S15,sample,S15,15,SR,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-S15,17.2,1.43E-03,,,,,,,,,,,,,,
21T_CCS-2_Day10_1-S19-rr_400scans,1-S19,sample,S19,19,SR,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-S19,24.9,2.07E-03,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-S21_11Jan18_Leopard_Infuse-qb,1-S21,sample,S21,21,SR,Field Moisture Incubation,1.5 kPa,> 300 µm,1.5-S21,14.9,1.24E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-S2_15Jan18_Leopard_Infuse-qb,1-S2,sample,S2,2,SR,Saturation Incubation,1.5 kPa,> 300 µm,1.5-S2,26.6,2.21E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-S3_15Jan18_Leopard_Infuse-qb,1-S3,sample,S3,3,SR,Saturation Incubation,1.5 kPa,> 300 µm,1.5-S3,32.1,2.67E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_1-S7_08Jan18_Leopard_Infuse-qb,1-S7,sample,S7,7,SR,Saturation Incubation,1.5 kPa,> 300 µm,1.5-S7,14.8,1.23E-03,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-S18_11Jan18_Leopard_Infuse-qb,1-S18,sample,S18,18,SR,Saturation Incubation,1.5 kPa,> 300 µm,1.5-S18,26,2.16E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_1-S9_11Jan18_Leopard_Infuse-qb,1-S9,sample,S9,9,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S9,4.9,4.09E-04,,,,,,,,,,,,,,
21T_CCS-2_Day9_1-S16-rr_400scans,1-S16,sample,S16,16,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S16,7.1,5.88E-04,,,,,,,,,,,,,,
21T_CCS-2_Day1_1-S17_04Jan18_Leopard_Infuse-qb,1-S17,sample,S17,17,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S17,6.9,5.76E-04,,,,,,,,,,,,,,
21T_CCS-2_Day1_1-S23_04Jan18_Leopard_Infuse-qb,1-S23,ref,S23,23,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S23,5.2,4.29E-04,,,,,,,,,,,,,,
21T_CCS-2_Day2_1-S23_04Jan18_Leopard_Infuse-qb,1-S23,ref,S23,23,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S23,5.2,4.29E-04,,,,,,,,,,,,,,
21T_CCS-2_Day4_1-S23_08Jan18_Leopard_Infuse-qb,1-S23,ref,S23,23,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S23,5.2,4.29E-04,,,,,,,,,,,,,,
21T_CCS-2_Day5_1-S23_08Jan18_Leopard_Infuse-qb,1-S23,ref,S23,23,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S23,5.2,4.29E-04,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-S23-1_11Jan18_Leopard_Infuse-qb,1-S23,ref,S23,23,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S23,5.2,4.29E-04,,,,,,,,,,,,,,
21T_CCS-2_Day8_1-S23_15Jan18_Leopard_Infuse-qb,1-S23,ref,S23,23,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S23,5.2,4.29E-04,,,,,,,,,,,,,,
21T_CCS-2_Day7_1-S23-2_11Jan18_Leopard_Infuse-qb,1-S23,sample,S23,23,SR,Time Zero Saturation,1.5 kPa,> 300 µm,1.5-S23,5.2,4.29E-04,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-C21_08Jan18_Leopard_Infuse-qb,5-C21,sample,C21,21,CPCRW,Drought Incubation,50 kPa,6 - 20 µm,50-C21,53.6,4.46E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-C22_08Jan18_Leopard_Infuse-qb,5-C22,sample,C22,22,CPCRW,Drought Incubation,50 kPa,6 - 20 µm,50-C22,121.9,1.02E-02,,,,,,,,,,,,,,
21T_CCS-2_Day6_5-C23-rr_400scans,5-C23,sample,C23,23,CPCRW,Drought Incubation,50 kPa,6 - 20 µm,50-C23,283.8,2.36E-02,,,,,,,,,,,,,,
21T_CCS-2_Day9_5-C24-rr_15Jan18_Leopard_Infuse-qb,5-C24,sample,C24,24,CPCRW,Drought Incubation,50 kPa,6 - 20 µm,50-C24,92.6,7.71E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_5-C25_04Jan18_Leopard_Infuse-qb,5-C25,sample,C25,25,CPCRW,Drought Incubation,50 kPa,6 - 20 µm,50-C25,382.4,3.18E-02,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-C16_15Jan18_Leopard_Infuse-qb,5-C16,sample,C16,16,CPCRW,Field Moisture Incubation,50 kPa,6 - 20 µm,50-C16,66.4,5.53E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_5-C17_11Jan18_Leopard_Infuse-qb,5-C17,sample,C17,17,CPCRW,Field Moisture Incubation,50 kPa,6 - 20 µm,50-C17,30.5,2.54E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_5-C20_15Jan18_Leopard_Infuse-qb,5-C20,sample,C20,20,CPCRW,Field Moisture Incubation,50 kPa,6 - 20 µm,50-C20,26.6,2.22E-03,,,,,,,,,,,,,,
21T_CCS-2_Day10_5-C11-rr_400scans,5-C11,sample,C11,11,CPCRW,Saturation Incubation,50 kPa,6 - 20 µm,50-C11,48.6,4.04E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_5-C12_04Jan18_Leopard_Infuse-qb,5-C12,sample,C12,12,CPCRW,Saturation Incubation,50 kPa,6 - 20 µm,50-C12,63.5,5.28E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_5-C13_04Jan18_Leopard_Infuse-qb,5-C13,sample,C13,13,CPCRW,Saturation Incubation,50 kPa,6 - 20 µm,50-C13,32.1,2.67E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_5-C14_04Jan18_Leopard_Infuse-qb,5-C14,sample,C14,14,CPCRW,Saturation Incubation,50 kPa,6 - 20 µm,50-C14,29.7,2.48E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_5-C15-rr_15Jan18_Leopard_Infuse-qb,5-C15,sample,C15,15,CPCRW,Saturation Incubation,50 kPa,6 - 20 µm,50-C15,143.1,1.19E-02,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-C6_08Jan18_Leopard_Infuse-qb,5-C6,sample,C6,6,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C6,34.7,2.89E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_5-C7_04Jan18_Leopard_Infuse-qb,5-C7,ref,C7,7,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C7,19,1.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day10_5-C7-rr_400scans,5-C7,ref,C7,7,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C7,19,1.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-C7_08Jan18_Leopard_Infuse-qb,5-C7,ref,C7,7,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C7,19,1.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-C7-a_08Jan18_Leopard_Infuse-qb,5-C7,ref,C7,7,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C7,19,1.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_5-C7_11Jan18_Leopard_Infuse-qb,5-C7,ref,C7,7,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C7,19,1.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_5-C7_11Jan18_Leopard_Infuse-qb,5-C7,ref,C7,7,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C7,19,1.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day9_5-C7_15Jan18_Leopard_Infuse-qb,5-C7,ref,C7,7,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C7,19,1.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-C7-b_08Jan18_Leopard_Infuse-qb,5-C7,sample,C7,7,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C7,19,1.58E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-C8_08Jan18_Leopard_Infuse-qb,5-C8,sample,C8,8,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C8,23.3,1.94E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-C9_08Jan18_Leopard_Infuse-qb,5-C9,sample,C9,9,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C9,43.5,3.62E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-C10_08Jan18_Leopard_Infuse-qb,5-C10,sample,C10,10,CPCRW,Time Zero Saturation,50 kPa,6 - 20 µm,50-C10,25.2,2.10E-03,,,,,,,,,,,,,,
21T_CCS-2_Day2_5-D22_04Jan18_Leopard_Infuse-qb,5-D22,sample,D22,22,DWP,Drought Incubation,50 kPa,6 - 20 µm,50-D22,58.8,4.89E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-D23_08Jan18_Leopard_Infuse-qb,5-D23,sample,D23,23,DWP,Drought Incubation,50 kPa,6 - 20 µm,50-D23,46.7,3.88E-03,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-D24_08Jan18_Leopard_Infuse-qb,5-D24,sample,D24,24,DWP,Drought Incubation,50 kPa,6 - 20 µm,50-D24,108.3,9.02E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-D25_08Jan18_Leopard_Infuse-qb,5-D25,sample,D25,25,DWP,Drought Incubation,50 kPa,6 - 20 µm,50-D25,66.1,5.50E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_5-D17_11Jan18_Leopard_Infuse-qb,5-D17,sample,D17,17,DWP,Field Moisture Incubation,50 kPa,6 - 20 µm,50-D17,43.6,3.63E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_5-D19_04Jan18_Leopard_Infuse-qb,5-D19,sample,D19,19,DWP,Field Moisture Incubation,50 kPa,6 - 20 µm,50-D19,81.2,6.76E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_5-D20_11Jan18_Leopard_Infuse-qb,5-D20,sample,D20,20,DWP,Field Moisture Incubation,50 kPa,6 - 20 µm,50-D20,32.5,2.71E-03,,,,,,,,,,,,,,
21T_CCS-2_Day1_5-D11_04Jan18_Leopard_Infuse-qb,5-D11,sample,D11,11,DWP,Saturation Incubation,50 kPa,6 - 20 µm,50-D11,46.9,3.91E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-D12_08Jan18_Leopard_Infuse-qb,5-D12,sample,D12,12,DWP,Saturation Incubation,50 kPa,6 - 20 µm,50-D12,53.9,4.49E-03,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-D13-rr_400scans,5-D13,sample,D13,13,DWP,Saturation Incubation,50 kPa,6 - 20 µm,50-D13,78.7,6.56E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_5-D14-rr_15Jan18_Leopard_Infuse-qb,5-D14,sample,D14,14,DWP,Saturation Incubation,50 kPa,6 - 20 µm,50-D14,94.9,7.90E-03,,,,,,,,,,,,,,
21T_CCS-2_Day6_5-D15_11Jan18_Leopard_Infuse-qb,5-D15,sample,D15,15,DWP,Saturation Incubation,50 kPa,6 - 20 µm,50-D15,139.1,1.16E-02,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-D6_11Jan18_Leopard_Infuse-qb,5-D6,sample,D6,6,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D6,76.4,6.36E-03,,,,,,,,,,,,,,
21T_CCS-2_Day10_5-D7-rr_400scans,5-D7,sample,D7,7,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D7,110.6,9.21E-03,,,,,,,,,,,,,,
21T_CCS-2_Day7_5-D8_11Jan18_Leopard_Infuse-qb,5-D8,sample,D8,8,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D8,39.5,3.29E-03,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-D9-rr_400scans,5-D9,sample,D9,9,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D9,,,,,,,,,,,,,,,,
21T_CCS-2_Day2_5-D10_04Jan18_Leopard_Infuse-qb,5-D10,ref,D10,10,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D10,142.8,1.19E-02,,,,,,,,,,,,,,
21T_CCS-2_Day3_5-D10_08Jan18_Leopard_Infuse-qb,5-D10,ref,D10,10,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D10,142.8,1.19E-02,,,,,,,,,,,,,,
21T_CCS-2_Day4_5-D10_08Jan18_Leopard_Infuse-qb,5-D10,ref,D10,10,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D10,142.8,1.19E-02,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-D10_08Jan18_Leopard_Infuse-qb,5-D10,ref,D10,10,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D10,142.8,1.19E-02,,,,,,,,,,,,,,
21T_CCS-2_Day6_5-D10_11Jan18_Leopard_Infuse-qb,5-D10,ref,D10,10,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D10,142.8,1.19E-02,,,,,,,,,,,,,,
21T_CCS-2_Day8_5-D10_11Jan18_Leopard_Infuse-qb,5-D10,ref,D10,10,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D10,142.8,1.19E-02,,,,,,,,,,,,,,
21T_CCS-2_Day9_5-D10-rr_15Jan18_Leopard_Infuse-qb,5-D10,ref,D10,10,DWP,Time Zero Saturation,50 kPa,6 - 20 µm,50-D10,142.8,1.19E-02,,,,,,,,,,,,,,
21T_CCS-2_Day9_5-S5-rr_15Jan18_Leopard_Infuse-qb,5-S5,sample,S5,5,SR,Drought Incubation,50 kPa,6 - 20 µm,50-S5,9.9,8.23E-04,,,,,,,,,,,,,,
21T_CCS-2_Day5_5-S10_08Jan18_Leopard_Infuse-qb,5-S10,sample,S10,10,SR,Drought Incubation,50 kPa,6 - 20 µm,50-S10,,,,,,,,,,,,,,,,
