SampleID,Site,CoreNo,Treatment,WetWeight_g,waterVol_ml,WSOC mgCL-1,NPOC ML-1,WSOC mgCg-1soil,Mean N [%],Mean C [%],Mean TOC [%]
D7,DWP,7,Time Zero Saturation,10.14,30,18.4,0.00153,0.549822485,0.018,0.387,0.3627
D8,DWP,8,Time Zero Saturation,10.11,30,8.21,0.00068,0.24605638,0.0203,0.4857,0.4347
D9,DWP,9,Time Zero Saturation,13.09,30,27.9,0.00232,0.645813598,0.045,1.0583,1.1313
D10,DWP,10,Time Zero Saturation,10.14,30,22,0.00183,0.65739645,0.0337,0.9877,0.9937
D11,DWP,11,Saturation Incubation,10.25,30,9.83,0.00082,0.29058439,0.0347,0.7943,0.799
D12,DWP,12,Saturation Incubation,10.38,30,13,0.00108,0.379479769,0.047,1.1663,1.0063
D13,DWP,13,Saturation Incubation,10.41,30,9.05,0.00075,0.263414986,0.019,0.556,0.5157
D14,DWP,14,Saturation Incubation,10.44,30,14.3,0.00119,0.415028736,0.0253,0.6323,0.62
D15,DWP,15,Saturation Incubation,10.41,30,19.9,0.00166,0.579221902,0.0423,1.0133,1.1013
D16,,,,,,,,,,,
D17,DWP,17,Field Moisture Incubation,10.54,30,10.6,0.00088,0.304724858,0.0377,0.9417,0.866
D18,DWP,18,Field Moisture Incubation,10.12,30,13.2,0.0011,0.395217391,0.03,0.6323,0.9707
D19,DWP,19,Field Moisture Incubation,10.35,30,15.5,0.00129,0.453768116,0.0373,0.905,0.7937
D20,DWP,20,Field Moisture Incubation,10.34,30,8.57,0.00071,0.251132495,0.0297,0.664,0.6203
D21,DWP,21,Drought Incubation,10.4,30,9.35,0.00078,0.272408654,0.0307,0.7303,0.7663
D22,DWP,22,Drought Incubation,10.45,30,10.4,0.00086,0.301550239,0.0293,0.6127,0.685
D23,DWP,23,Drought Incubation,10.02,30,8.02,0.00067,0.242520958,0.0347,0.8213,0.814
D24,DWP,24,Drought Incubation,10.25,30,73.7,0.00614,2.178643902,0.031,0.8027,0.8023
D25,DWP,25,Drought Incubation,10.07,30,20.6,0.00171,0.619841112,0.0287,0.722,0.8703
S9,SR,9,Time Zero Saturation,7.42,30,12.8,0.00107,0.522695418,0.579,9.603,9.2743
S11,SR,11,Time Zero Saturation,7.55,30,9.83,0.00082,0.394501987,0.5997,9.9537,9.4593
S16,SR,16,Time Zero Saturation,7.72,30,12.4,0.00103,0.486683938,0.597,10.3663,9.7917
S17,SR,17,Time Zero Saturation,7.87,30,12.4,0.00103,0.477407878,0.5813,10.0407,10.1293
S23,SR,23,Time Zero Saturation,7.83,30,7.38,0.00061,0.285586207,0.5443,8.6237,8.6477
S2,SR,2,Saturation Incubation,7.29,30,9.88,0.00082,0.410650206,0.599,10.4573,10.1277
S3,SR,3,Saturation Incubation,7.77,30,14.3,0.00119,0.557644788,0.6393,11.3277,11.2083
S7,SR,7,Saturation Incubation,7.27,30,11,0.00092,0.458459422,0.6037,10.5993,10.3783
S18,SR,18,Saturation Incubation,7.32,30,15.1,0.00126,0.625040984,0.5433,9.8117,9.2707
S24,SR,24,Saturation Incubation,7.3,30,17.3,0.00144,0.718068493,0.6177,10.248,9.5817
S1,SR,1,Field Moisture Incubation,7.07,30,10.2,0.00085,0.437142857,0.576,12.0063,11.7517
S13,SR,13,Field Moisture Incubation,7.21,30,14.4,0.0012,0.605159501,0.5587,8.72,8.462
S15,SR,15,Field Moisture Incubation,7.12,30,15.1,0.00126,0.642598315,0.6173,10.5873,10.346
S19,SR,19,Field Moisture Incubation,7.13,30,14.7,0.00123,0.624698457,0.63,11.2213,10.7503
S21,SR,21,Field Moisture Incubation,7.25,30,17.8,0.00148,0.743917241,0.6283,10.6023,10.1393
S4,SR,4,Drought Incubation,7.93,30,12.3,0.00103,0.469974779,0.553,9.3357,9.1687
S5,SR,5,Drought Incubation,6.79,30,11.8,0.00098,0.526568483,0.5477,8.7163,8.481
S10,SR,10,Drought Incubation,7.03,30,15.9,0.00133,0.685305832,0.6037,9.643,9.1973
S14,SR,14,Drought Incubation,7.15,30,16.6,0.00138,0.703468532,0.6117,10.0417,9.9697
S25,SR,25,Drought Incubation,7.08,30,14.3,0.00119,0.611991525,0.565,10.1733,10.074
