Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj							
TIGR01978	77.51235203	0.794803703	0.189815076	4.187252779	2.82E-05	0.002143988	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	sufC	FeS assembly ATPase SufC	sufC	NA	"SufC is part of the SUF system, shown in E. coli to consist of six proteins and believed to act in Fe-S cluster formation during oxidative stress. SufC forms a complex with SufB and SufD. SufC belongs to the ATP-binding cassette transporter family (PF00005) but is no longer thought to be part of a transporter. The complex is reported as cytosolic (PMID:12554644) or associated with the membrane (PMID:11943156). The SUF system also includes a cysteine desulfurase (SufS, enhanced by SufE) and a probable iron-sulfur cluster assembly scaffold protein, SufA."
TIGR02875	17.15440207	1.682999991	0.421005704	3.997570523	6.40E-05	0.004084025	Cellular processes	Sporulation and germination	spore_0_A	sporulation transcription factor Spo0A	spo0A	NA	"Spo0A, the stage 0 sporulation protein A, is a transcription factor critical for the initiation of sporulation. It contains a response regulator receiver domain (PF00072). In Bacillus subtilis, it works together with response regulator Spo0F and the phosphotransferase Spo0B, both of which are missing from at least some sporulating species and thus not part of the endospore forming bacteria minimal gene set. Spo0A, however, is universal among endospore-forming species."
TIGR03458	12.74294476	2.196745464	0.549650202	3.996624497	6.43E-05	0.004084025	NA	NA	YgfH_subfam	succinate CoA transferase	NA	2.8.3.-	This family of CoA transferases includes enzymes catalyzing at least two related but distinct activities. The propionate:succinate transferase activity has been reported in the propionic acid fermentation of propionibacterium species [3] where it is distinct from the coupled activities of distinct nucleotide-triphosphate dependent succinate and propionate/acetate CoA transferases (as inferred from activity in the absence of NTPs). A closely related clade not included in this family are the Ach1p proteins of fungi which are acetyl-CoA hydrolases [4].
TIGR02000	78.3484449	1.050522681	0.262922445	3.995561045	6.45E-05	0.004084025	Central intermediary metabolism	Nitrogen fixation	NifU_proper	Fe-S cluster assembly protein NifU	nifU	NA	"Three different but partially homologous Fe-S cluster assembly systems have been described: Isc, Suf, and Nif. The latter is associated with donation of an Fe-S cluster to nitrogenase in a number of nitrogen-fixing species. NifU, described here, consists of an N-terminal domain (PF01592) and a C-terminal domain (PF01106). Homologs with an equivalent domain archictecture from Helicobacter and Campylobacter, however, are excluded from this model by a high trusted cutoff. The model, therefore, is specific for NifU involved in nitrogenase maturation. The related model TIGR01999 homologous to the N-terminus of this model describes IscU from the Isc system as in E. coli, Saccharomyces cerevisiae, and Homo sapiens."
TIGR01139	83.74648056	0.846755151	0.212947784	3.976351084	7.00E-05	0.004195164	Amino acid biosynthesis	Serine family	cysK	cysteine synthase A	cysK	2.5.1.47	This model distinguishes cysteine synthase A (CysK) from cysteine synthase B (CysM). CysM differs in having a broader specificity that also allows the use of thiosulfate to produce cysteine thiosulfonate.
TIGR01395	8.947258966	1.719744159	0.438064843	3.92577534	8.65E-05	0.004923374	Cellular processes	Chemotaxis and motility	FlgC	flagellar basal-body rod protein FlgC	flgC	NA	"This HMM represents FlgC, one of several components of bacterial flagella that share a domain described by Pfam HMM PF00460. FlgC is part of the basal body."
TIGR01591	45.0920813	-1.080711565	0.276355888	-3.910579117	9.21E-05	0.004993978	NA	NA	Fdh-alpha	"formate dehydrogenase, alpha subunit, archaeal-type"	NA	1.2.1.2	This HMM describes a subset of formate dehydrogenase alpha chains found mainly archaea but also in alpha and gamma proteobacteria and a small number of gram positive bacteria. The enzyme catalyzes the oxidation of formate (produced from pyruvate during anaerobic growth) to carbon dioxide with the concomitant release of two electrons and two protons.
TIGR00975	57.2126924	0.92979052	0.239815077	3.87711453	0.000105703	0.005472512	Transport and binding proteins	Anions	3a0107s03	"phosphate ABC transporter, phosphate-binding protein"	pstS	NA	"This family represents one type of (periplasmic, in Gram-negative bacteria) phosphate-binding protein found in phosphate ABC (ATP-binding cassette) transporters. This protein is accompanied, generally in the same operon, by an ATP binding protein and (usually) two permease proteins."
TIGR01172	22.28569989	0.91825023	0.241101139	3.808568617	0.000139774	0.006631795	Amino acid biosynthesis	Serine family	cysE	serine O-acetyltransferase	cysE	2.3.1.30	Cysteine biosynthesis
TIGR02224	44.67326411	1.332142166	0.350603015	3.799574187	0.000144945	0.006631795	DNA metabolism	"DNA replication, recombination, and repair"	recomb_XerC	tyrosine recombinase XerC	xerC	NA	"The phage integrase family describes a number of recombinases with tyrosine active sites that transiently bind covalently to DNA. Many are associated with mobile DNA elements, including phage, transposons, and phase variation loci. This model represents XerC, one of two closely related chromosomal proteins along with XerD (TIGR02225). XerC and XerD are site-specific recombinases which help resolve chromosome dimers to monomers for cell division after DNA replication. In species with a large chromosome and homologs of XerC on other replicons, the chomosomal copy was preferred for building this model. This model does not detect all XerC, as some apparent XerC examples score in the gray zone between trusted (450) and noise (410) cutoffs, along with some XerD examples. XerC and XerD interact with cell division protein FtsK."
TIGR02225	47.95885173	1.456048988	0.383319923	3.798521547	0.000145562	0.006631795	DNA metabolism	"DNA replication, recombination, and repair"	recomb_XerD	tyrosine recombinase XerD	xerD	NA	"The phage integrase family describes a number of recombinases with tyrosine active sites that transiently bind covalently to DNA. Many are associated with mobile DNA elements, including phage, transposons, and phase variation loci. This model represents XerD, one of two closely related chromosomal proteins along with XerC (TIGR02224). XerC and XerD are site-specific recombinases which help resolve chromosome dimers to monomers for cell division after DNA replication. In species with a large chromosome and with homologs of XerD on other replicons, the chomosomal copy was preferred for building this model. This model does not detect all XerD, as some apparent XerD examples score below the trusted and noise cutoff scores. XerC and XerD interact with cell division protein FtsK."
TIGR01521	20.58618004	1.10298526	0.29157985	3.782789724	0.00015508	0.006793715	NA	NA	FruBisAldo_II_B	"fructose-bisphosphate aldolase, class II, Calvin cycle subtype"	fba	4.1.2.13	"Members of this family are class II examples of the enzyme fructose-bisphosphate aldolase, an enzyme both of glycolysis and (in the opposite direction) of the Calvin cycle of CO2 fixation. A deep split separates the tightly conserved yeast/E. coli/Mycobacterium subtype (all species lacking the Calvin cycle) represented by model TIGR01520 from a broader group of aldolases that includes both tagatose- and fructose-bisphosphate aldolases. This model represents a distinct, elongated, very well conserved subtype within the latter group. Most species with this aldolase subtype have the Calvin cycle."
TIGR03419	83.16602408	0.926054455	0.245760698	3.768114518	0.000164485	0.006938841	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	NifU_clost	"FeS cluster assembly scaffold protein NifU, Clostridium type"	nifU	NA	"NifU and NifS form a pair of iron-sulfur (FeS) cluster biosynthesis proteins much simpler than the ISC and SUF systems. Members of this protein family are a distinct group of NifU-like proteins, found always to a NifS-like protein and restricted to species that lack a SUF system. Typically, NIF systems service a smaller number of FeS-containing proteins than do ISC or SUF. Members of this particular branch typically are found, almost half the time, near the mnmA gene, involved in the carboxymethylaminomethyl modification of U34 in some tRNAs (see GenProp0704). While other NifU proteins are associated with nitrogen fixation, this family is not."
TIGR03074	12.02632553	-1.315426917	0.350093242	-3.757361641	0.000171714	0.006951633	NA	NA	PQQ_membr_DH	"membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family"	NA	1.1.-.-	"This protein family has a phylogenetic distribution very similar to that coenzyme PQQ biosynthesis enzymes, as shown by partial phylogenetic profiling. Members of this family have several predicted transmembrane helices in the N-terminal region, and include the quinoprotein glucose dehydrogenase (EC 1.1.5.2) of Escherichia coli and the quinate/shikimate dehydrogenase of Acinetobacter sp. ADP1 (EC 1.1.99.25). Sequences closely related except for the absense of the N-terminal hydrophobic region, scoring in the gray zone between the trusted and noise cutoffs, include PQQ-dependent glycerol (EC 1.1.99.22) and and other polyol (sugar alcohol) dehydrogenases."
TIGR04555	20.63770906	-1.507697953	0.402077175	-3.749772552	0.000176995	0.006951633	NA	NA	sulfite_DH_soxC	sulfite dehydrogenase	soxC	1.8.2.1	Members of this family are the sulfite dehydrogenase SoxC. All members have a twin-arginine translocation (TAT) signal for secretion of proteins with bound cofactor across the plasma membrane.
TIGR00649	23.97541002	1.031494872	0.276042285	3.736727775	0.000186431	0.007078147	Transcription	Degradation of RNA	MG423	"beta-CASP ribonuclease, RNase J family"	NA	3.1.-.-	"This family of metalloenzymes includes RNase J1 and RNase J2, involved in mRNA degradation in a wide range of organism."
TIGR01979	81.26839587	0.725360571	0.195314446	3.713809114	0.000204163	0.007501337	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	sufS	"cysteine desulfurases, SufSfamily"	sufS	NA	This model represents a subfamily of NifS-related cysteine desulfurases involved in FeS cluster formation needed for nitrogen fixation among other vital functions. Many cysteine desulfurases are also active as selenocysteine lyase and/or cysteine sulfinate desulfinase. This subfamily is associated with the six-gene SUF system described in E. coli and Erwinia as an FeS cluster formation system during oxidative stress. The active site Cys is this subfamily resembles GHHC with one or both His conserved.
TIGR01999	153.4804863	1.023917607	0.277813418	3.685630506	0.000228137	0.008120256	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	iscU	FeS cluster assembly scaffold IscU	iscU	NA	"This HMM represents IscU, a homolog of the N-terminal region of NifU, an Fe-S cluster assembly protein found mostly in nitrogen-fixing bacteria. IscU is considered part of the IscSUA-hscAB-fdx system of Fe-S assembly, whereas NifU is found in nitrogenase-containing (nitrogen-fixing) species. A NifU-type protein is also found in Helicobacter and Campylobacter. IscU and NifU are considered scaffold proteins on which Fe-S clusters are assembled before transfer to apoproteins. This model excludes true NifU proteins as in Klebsiella pneumoniae and Anabaena sp. as well as archaeal homologs. It includes largely proteobacterial and eukaryotic forms."
TIGR01859	17.16144229	1.141065281	0.319427463	3.572220344	0.000353967	0.012217238	Energy metabolism	Glycolysis/gluconeogenesis	fruc_bis_ald_	"fructose-1,6-bisphosphate aldolase, class II, various bacterial and amitochondriate protist"	fba	4.1.2.13	"This HMM represents of one of several subtypes of the class II fructose-1,6-bisphosphate aldolase, an enzyme of glycolysis. The subtypes are split into several HMMs to allow separation of a family of tagatose bisphosphate aldolases. This form is found in Gram-positive bacteria, a variety of Gram-negative, and in amitochondriate protists. The class II enzymes share homology with tagatose bisphosphate aldolase but not with class I aldolase."
TIGR02882	60.37811284	-1.140122565	0.321326628	-3.548173303	0.000387913	0.012992875	Energy metabolism	Electron transport	QoxB	"cytochrome aa3 quinol oxidase, subunit I"	qoxB	1.10.3.-	"This family (QoxB) encodes subunit I of the aa3-type quinone oxidase, one of several bacterial terminal oxidases [1]."
TIGR02787	5.683352947	2.461089759	0.695109946	3.540576239	0.000399254	0.012992875	Regulatory functions	DNA interactions	codY_Gpos	GTP-sensing transcriptional pleiotropic repressor CodY	codY	NA	"This model represents the full length of CodY, a pleiotropic repressor in Bacillus subtilis and other Firmicutes (low-GC Gram-positive bacteria) that responds to intracellular levels of GTP and branched chain amino acids. The C-terminal helix-turn-helix DNA-binding region is modeled by PF08222 in Pfam."
TIGR03358	25.78658669	-0.742680798	0.212533844	-3.494411927	0.000475107	0.015031868	Cellular processes	Pathogenesis	VI_chp_5	"type VI secretion protein, VC_A0107 family"	NA	NA	"Work by Mougous, et al. (2006), describes IAHP-related loci as a type VI secretion system (PMID:16763151). This protein family is associated with type VI secretion loci, although not treated explicitly by Mougous, et al."
TIGR03344	13.22807599	-1.832600704	0.525552738	-3.486996781	0.000488477	0.015037178	Cellular processes	Pathogenesis	VI_effect_Hcp1	"type VI secretion system effector, Hcp1 family"	NA	NA	"This family includes Hcp1 (hemolysin coregulated protein 1), an exported, homohexameric ring-forming virulence protein from Pseudomonas aeruginosa. Hcp1 lacks a conventional signal sequence and is instead exported by means of the type VI secretion system, encoded by a pathogenicity cluster of a class previously designated IAHP (IcmF-associated homologous protein)."
TIGR01136	88.7738185	0.71148509	0.205280072	3.465923817	0.000528413	0.015838484	Amino acid biosynthesis	Serine family	cysKM	cysteine synthase	NA	"This model discriminates cysteine synthases (EC 2.5.1.47) (both CysK and CysM) from cystathionine beta-synthase, a protein found primarily in eukaryotes and carrying a C-terminal CBS domain lacking from this protein. Bacterial proteins lacking the CBS domain but otherwise showing resemblamnce to cystathionine beta-synthases and considerable phylogenetic distance from known cysteine synthases were excluded from the seed and score below the trusted cutoff."	"This model discriminates cysteine synthases (EC 2.5.1.47) (both CysK and CysM) from cystathionine beta-synthase, a protein found primarily in eukaryotes and carrying a C-terminal CBS domain lacking from this protein. Bacterial proteins lacking the CBS domain but otherwise showing resemblamnce to cystathionine beta-synthases and considerable phylogenetic distance from known cysteine synthases were excluded from the seed and score below the trusted cutoff."
TIGR01981	58.39199802	0.888736037	0.258256368	3.441293802	0.00057894	0.016908003	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	sufD	FeS assembly protein SufD	sufD	NA	"This protein, SufD, forms a cytosolic complex SufBCD. This complex enhances the cysteine desulfurase of SufSE. The system, together with SufA, is believed to act in iron-sulfur cluster formation during oxidative stress. SufB and SufD are homologous. Note that SufC belongs to the family of ABC transporter ATP binding proteins, so this protein, encoded by an adjacent gene, has often been annotated as a transporter component."
TIGR00086	80.95357848	1.358317534	0.400288611	3.393345438	0.000690445	0.01914158	Protein synthesis	Other	smpB	SsrA-binding protein	smpB	NA	"This model describes the SsrA-binding protein, also called tmRNA binding protein, small protein B, and SmpB. The small, stable RNA SsrA (also called tmRNA or 10Sa RNA) recognizes stalled ribosomes such as occur during translation from message that lacks a stop codon. It becomes charged with Ala like a tRNA, then acts as mRNA to resume translation started with the defective mRNA. The short C-terminal peptide tag added by the SsrA system marks the abortively translated protein for degradation. SmpB binds SsrA after its aminoacylation but before the coupling of the Ala to the nascent polypeptide chain and is an essential part of the SsrA peptide tagging system. SmpB has been associated with the survival of bacterial pathogens in conditions of stress. It is universal in the first 100 sequenced bacterial genomes."
TIGR01311	30.99285823	1.03820696	0.306893074	3.382959886	0.000717091	0.01914158	Energy metabolism	Other	glycerol_kin	glycerol kinase	glpK	2.7.1.30	"This HMM describes glycerol kinase, a member of the FGGY family of carbohydrate kinases."
TIGR02010	24.34621286	1.274229048	0.376848686	3.38127502	0.000721503	0.01914158	Regulatory functions	DNA interactions	IscR	iron-sulfur cluster assembly transcription factor IscR	iscR	NA	"This HMM describes IscR, an iron-sulfur binding transcription factor of the ISC iron-sulfur cluster assembly system."
TIGR03412	10.80181731	1.276722264	0.377634408	3.380841989	0.000722641	0.01914158	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	iscX_yfhJ	FeS assembly protein IscX	iscX	NA	"Members of this protein family are YfhJ, a protein of the ISC system for iron-sulfur cluster assembly. Other genes in the system include iscSUA, hscBA, and fdx."
TIGR01980	260.967745	0.77218344	0.230741691	3.346527615	0.000818305	0.021182948	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	sufB	FeS assembly protein SufB	sufB	NA	"This protein, SufB, forms a cytosolic complex SufBCD. This complex enhances the cysteine desulfurase of SufSE. The system, together with SufA, is believed to act in iron-sulfur cluster formation during oxidative stress. Note that SufC belongs to the family of ABC transporter ATP binding proteins, so this protein, encoded by an adjacent gene, has often been annotated as a transporter component."
TIGR00979	39.66961036	-0.64548618	0.194351612	-3.32122885	0.00089622	0.022684329	Energy metabolism	TCA cycle	fumC_II	"fumarate hydratase, class II"	fumC	4.2.1.2	"Putative fumarases from several species (Mycobacterium tuberculosis, Streptomyces coelicolor, Pseudomonas aeruginosa) branch deeply, although within the same branch of a phylogenetic tree rooted by aspartate ammonia-lyase sequences, and score between the trusted and noise cutoffs."
TIGR03599	4.106463286	1.877362243	0.573239138	3.275007095	0.001056593	0.026162166	NA	NA	YloV	DAK2 domain fusion protein YloV	NA	NA	"This model describes a protein family that contains an N-terminal DAK2 domain (PF02734), so named because of similarity to the"
TIGR00117	14.85913359	1.614518418	0.502217796	3.214777398	0.001305457	0.031636504	Energy metabolism	TCA cycle	acnB	aconitate hydratase 2	acnB	4.2.1.3	"Aconitate hydratase (aconitase) is an enzyme of the TCA cycle. This model describes aconitase 2, AcnB, which has weak similarity to aconitase 1. It is found almost exclusively in the Proteobacteria."
TIGR01346	62.54306304	0.984338006	0.308376073	3.192005128	0.001412888	0.033526661	Energy metabolism	TCA cycle	isocit_lyase	isocitrate lyase	aceA	4.1.3.1	"Isocitrate lyase and malate synthase are the enzymes of the glyoxylate shunt, a pathway associated with the TCA cycle."
TIGR00656	26.10124982	0.711087214	0.223817768	3.17708116	0.001487654	0.034580365	Amino acid biosynthesis	Aspartate family	asp_kin_monofn	"aspartate kinase, monofunctional class"	NA	2.7.2.4	"This model describes a subclass of aspartate kinases. These are mostly Lys-sensitive and not fused to homoserine dehydrogenase, unlike some Thr-sensitive and Met-sensitive forms. Homoserine dehydrogenase is part of Thr and Met but not Lys biosynthetic pathways. Aspartate kinase catalyzes a first step in the biosynthesis from Asp of Lys (and its precursor diaminopimelate), Met, and Thr. In E. coli, a distinct isozyme is inhibited by each of the three amino acid products. The Met-sensitive (I) and Thr-sensitive (II) forms are bifunctional enzymes fused to homoserine dehydrogenases and form homotetramers, while the Lys-sensitive form (III) is a monofunctional homodimer. The Lys-sensitive enzyme of Bacillus subtilis resembles the E. coli form but is an alpha 2/beta 2 heterotetramer, where the beta subunit is translated from an in-phase alternative initiator at Met-246. The protein slr0657 from Synechocystis PCC6803 is extended by a duplication of the C-terminal region corresponding to the beta chain. Incorporation of a second copy of the C-terminal domain may be quite common in this subgroup of aspartokinases."
TIGR03182	45.01514386	-0.655431342	0.207220075	-3.162972229	0.001561672	0.035574895	Energy metabolism	Pyruvate dehydrogenase	PDH_E1_alph_y	"pyruvate dehydrogenase E1 component, alpha subunit"	pdhA	1.2.4.1	"Members of this protein family are the alpha subunit of the E1 component of pyruvate dehydrogenase (PDH). This model represents one branch of a larger family that E1-alpha proteins from 2-oxoisovalerate dehydrogenase, acetoin dehydrogenase, another PDH clade, etc."
TIGR01176	23.65489347	-0.831650204	0.269376407	-3.087316421	0.002019725	0.045107187	NA	NA	fum_red_Fp	"fumarate reductase (quinol), flavoprotein subunit"	frdA	1.3.5.4	"The terms succinate dehydrogenase and fumarate reductase may be used interchangeably in certain systems. However, a number of species have distinct complexes, with the fumarate reductase active under anaerobic conditions. This model represents the fumarate reductase flavoprotein subunit from several such species in which a distinct succinate dehydrogenase is also found. Not all bona fide fumarate reductases will be found by this model."
TIGR02007	7.180308933	0.902482327	0.295244045	3.056733377	0.002237632	0.04901275	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	fdx_isc	"ferredoxin, 2Fe-2S type, ISC system"	fdx	NA	"This family consists of proteobacterial ferredoxins associated with and essential to the ISC system of 2Fe-2S cluster assembly. This family is closely related to (but excludes) eukaryotic (mitochondrial) adrenodoxins, which are ferredoxins involved in electron transfer to P450 cytochromes."
TIGR01994	27.96629403	0.820705911	0.269526722	3.044989026	0.002326888	0.05000614	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	SUF_scaf_2	"SUF system FeS assembly protein, NifU family"	NA	NA	"Three iron-sulfur cluster assembly systems are known so far. ISC is broadly distributed while NIF tends to be associated with nitrogenase in nitrogen-fixing bacteria. The most recently described is SUF, believed to be important to maintain the function during aerobic stress of enzymes with labile Fe-S clusters. It is fairly widely distributed. This family represents one of two different proteins proposed to act as a scaffold on which the Fe-S cluster is built and from which it is transferred."
TIGR02843	70.02716138	-1.072726884	0.355010797	-3.021673969	0.002513811	0.0530228	Energy metabolism	Electron transport	CyoB	"cytochrome o ubiquinol oxidase, subunit I"	cyoB	1.10.3.-	"Cytochrome o terminal oxidase complex is the component of the aerobic respiratory chain which reacts with oxygen, reducing it to water with the concomitant transport of 4 protons across the membrane."
TIGR01473	11.37268549	-0.779517883	0.258551968	-3.01493696	0.002570327	0.05322913	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cyoE_ctaB	protoheme IX farnesyltransferase	cyoE	2.5.1.-	"This HMM describes protoheme IX farnesyltransferase, also called heme O synthase, an enzyme that creates an intermediate in the biosynthesis of heme A. Prior to the description of its enzymatic function, this protein was often called a cytochrome o ubiquinol oxidase assembly factor."
TIGR00437	15.76405064	1.018946392	0.339183629	3.004114305	0.002663552	0.054063954	Transport and binding proteins	Cations and iron carrying compounds	feoB	ferrous iron transporter FeoB	feoB	NA	"FeoB (773 amino acids in E. coli), a cytoplasmic membrane protein required for iron(II) update, is encoded in an operon with FeoA (75 amino acids), which is also required, and is regulated by Fur. There appear to be two copies in Archaeoglobus fulgidus and"
TIGR03904	13.61184071	1.099701212	0.367041619	2.996121296	0.002734376	0.054063954	Unknown function	Enzymes of unknown specificity	SAM_YgiQ	uncharacterized radical SAM protein YgiQ	NA	NA	"Members of this family are fairly widespread uncharacterized radical SAM family proteins, many of which are designated YgiQ."
