SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records,samplenum,CO2_ppm_s,CH4_ppb_s,r2_CO2,r2_CH4,DATETIME,N,h2o_reported
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,898,27.38181223620218,-2.6625954371549064e-5,0.835950533837592,-0.16637838246024184,2016-10-08T01:25:34Z,8,1.9541888138374999
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,908,3.3737079129044383,-0.0025891852869484844,0.7660364128612798,0.7817898877673183,2016-10-08T01:45:35Z,7,2.3454201607
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,918,2.1798653269293693,2.3021819668427385e-4,0.8158256974367712,-0.09780319728183695,2016-10-08T02:05:30Z,10,2.04601299554
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,928,3.6990408336928873,4.8760135050762563e-4,0.8631574451719741,-0.04552541091925133,2016-10-08T02:25:28Z,9,2.0803967677444444
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,938,2.292189054230749,1.3806643894229126e-4,0.8056462569613076,-0.029028825114516987,2016-10-08T02:45:28Z,12,2.092501701683333
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,948,3.3054116774526916,6.341137044164355e-4,0.876962771957918,0.2031961898099166,2016-10-08T03:05:27Z,9,2.1409186383666667
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,958,3.463177653376073,4.7154119316246494e-4,0.8800683850350018,0.8761648811289509,2016-10-08T03:25:24Z,7,2.1491939039
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,968,3.4648827653104934,3.808187573875722e-4,0.8906436633125057,0.8263924678932283,2016-10-08T03:45:23Z,10,2.19239769434
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,978,2.6791880682791582,-1.772508126198959e-5,0.824983555719434,-0.11844552569883482,2016-10-08T04:05:22Z,10,2.19399830633
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,988,3.295437816028839,6.218731414154756e-4,0.9071748239156195,0.8069834301334887,2016-10-08T04:25:20Z,10,2.10994827412
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,998,3.6800009591272422,2.5499884006312024e-4,0.8473527849962664,-0.07650568362124766,2016-10-08T04:45:18Z,8,2.179225484025
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1008,4.222980500820186,2.6334612902215225e-4,0.8245107833474751,-0.0842270642935592,2016-10-08T05:05:17Z,8,2.1940448004875
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1018,4.399724185526324,-3.1292221052629744e-4,0.7931663744401456,0.8221248014876952,2016-10-08T05:25:16Z,7,2.3177555114999997
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1028,3.8650234217105233,4.4255072368441584e-5,0.8202927056595282,-0.09708782592776788,2016-10-08T05:45:13Z,7,2.1578066173285713
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1038,4.5568884164473875,-4.7987969078943244e-4,0.8282841481956942,0.7956548422080174,2016-10-08T06:05:13Z,7,2.289641788214286
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1048,3.723930489514343,6.609567273731144e-4,0.7962402179090269,0.8334168907634942,2016-10-08T06:25:11Z,10,2.05741840119
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1058,3.8295977721534773,7.517845493772732e-4,0.8242116105448177,0.8634826052502972,2016-10-08T06:45:10Z,10,2.05288802442
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1068,4.1058383630242945,7.061369768212089e-4,0.8011923819075417,0.8414944824011261,2016-10-08T07:05:08Z,10,2.07800683788
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1078,5.620937478094431,2.1345655489513507e-4,0.8662810794098456,0.5829704128440772,2016-10-08T07:25:07Z,7,2.3218957225
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1088,5.813772570716915,6.049801930149889e-5,0.8817465013397443,0.06359947383951925,2016-10-08T07:45:05Z,7,2.302448744314286
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1098,5.580247163525075,8.066016067846852e-4,0.9047621781201611,0.801034433456457,2016-10-08T08:05:02Z,10,2.05843431641
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1108,4.625838952821981,3.897351619318021e-4,0.8064820337972756,0.32753003392496993,2016-10-08T08:25:01Z,9,2.095780927711111
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1118,5.27288514979674,8.09635254065075e-4,0.7910742263692009,0.8378117047001379,2016-10-08T08:45:01Z,9,2.1482474056555554
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1128,4.595891880471821,0.0010372511992136164,0.8080467128220883,0.8319551994911536,2016-10-08T09:04:58Z,10,2.07844421227
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1138,5.8245884440598426,7.086255636752635e-4,0.8555781956620349,0.8803399426695192,2016-10-08T09:24:56Z,7,2.153650331857143
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1148,5.490470075069935,9.844998374126759e-4,0.9001103982349592,0.9173247075288028,2016-10-08T09:44:54Z,7,2.1430936294285714
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1158,5.032416755263149,6.134916491228046e-4,0.8106496600118142,0.7770195780525648,2016-10-08T10:04:54Z,10,2.07043639665
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1168,5.796375489473694,5.544587631579599e-4,0.8493965087804972,0.8173173599408146,2016-10-08T10:24:52Z,7,2.2234382710714287
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1179,5.636702595882351,6.47115708496773e-4,0.9081733085189508,0.8382099320462991,2016-10-08T10:44:50Z,7,2.2452998144
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1189,6.566970488815793,3.5755444736852547e-4,0.8448259001242642,0.6837821001737601,2016-10-08T11:04:49Z,7,2.2830114229571428
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1199,5.85168722536765,2.9916273584571374e-4,0.9249710803576355,0.8758966523867009,2016-10-08T11:24:46Z,7,2.170211233642857
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1210,5.186477173705581,7.590125265651847e-4,0.7783075205655516,0.7415919225812524,2016-10-08T11:44:45Z,10,2.06965288391
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1220,6.7634856697727255,2.2520640909092917e-4,0.9236397406018129,0.8233111808317086,2016-10-08T12:04:43Z,7,2.2771398846285713
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1230,6.175905527703079,3.021710654528661e-4,0.8193732645091611,-0.014583773954829793,2016-10-08T12:24:42Z,8,2.216309138875
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1240,5.1188135424957695,3.746952764805122e-4,0.801145901528219,0.7402921947399224,2016-10-08T12:44:41Z,10,2.09367171934
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1250,6.388552638970592,-2.439229779411748e-4,0.8675830801948174,0.1327209217919153,2016-10-08T13:04:40Z,10,2.27707678771
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1260,5.415170686710355,4.907794667103777e-4,0.7713543836310998,0.8227072178144567,2016-10-08T13:24:36Z,10,2.0517495747
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1270,5.365815230558378,6.221967321489164e-4,0.7272032912399393,0.8570471028538655,2016-10-08T13:44:35Z,10,2.06156421719
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1280,8.22943602434211,4.8230578289481184e-4,0.7699504734273609,0.6626174207711002,2016-10-08T14:04:36Z,7,2.3587874567428573
C6,CPCRW,sat_I,1,5.94,188.05,272.1,206.9,212,IMMEDIATE_SATURATION,6,593.35,10,197,1290,7.42612875328947,-3.358640657894418e-4,0.8387982678405274,0.7204482725624997,2016-10-08T14:24:33Z,7,2.297859313785714
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,900,29.65772000238348,0.0010370489846227716,0.7608744325515279,0.17226763106479326,2016-10-08T01:29:34Z,10,1.97896860846
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,910,7.1905400555159975,0.0019266760338076975,0.7155357303005024,0.028198287844105274,2016-10-08T01:49:30Z,6,1.986436366666667
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,920,4.698148524342107,5.219438157895105e-4,0.8365744114208236,0.8429604561257111,2016-10-08T02:09:30Z,7,2.099720930642857
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,930,5.023686193859365,2.2965162710122123e-4,0.8380881633501869,-0.09869986499439976,2016-10-08T02:29:28Z,8,2.1496559881
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,940,5.433303205938771,6.682219854955797e-4,0.8711343847887627,0.8484222666313327,2016-10-08T02:49:27Z,10,2.17045242909
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,950,5.879164240624992,0.001132285731249931,0.8650569311502122,0.43082366548377593,2016-10-08T03:09:25Z,10,2.0591376446100003
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,960,6.452312054687501,7.496577437499203e-4,0.7997253717779584,0.06977801825433771,2016-10-08T03:29:24Z,9,2.1365100208444443
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,970,7.550416466926261,5.942340885247241e-4,0.855546095440861,0.5825462528513945,2016-10-08T03:49:21Z,7,2.1252873320142855
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,980,7.033883210359735,-0.0011054321266185246,0.6047151368750368,0.4792274542163828,2016-10-08T04:09:21Z,7,2.3585204640714283
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,990,5.382531552573536,6.569768305147558e-4,0.826543361899698,0.935767686138524,2016-10-08T04:29:18Z,7,2.0657142253142857
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1000,5.754282498895909,1.8740402439546526e-4,0.815624418968314,-0.13057115038372635,2016-10-08T04:49:18Z,8,2.2356601657875
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1010,5.028460403602946,0.0013586701505514808,0.6292398112141888,0.6664601444565024,2016-10-08T05:09:13Z,7,1.8514526980571429
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1020,6.292411028947379,-3.1500084210519223e-4,0.8398317515940023,0.5473235754043102,2016-10-08T05:29:15Z,7,2.3307878111571427
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1030,5.638641917763156,2.392615263159204e-4,0.7760954485116631,0.35560141293241665,2016-10-08T05:49:13Z,7,2.1561338529142855
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1040,6.5296927695979035,-7.063798445802753e-4,0.9220919315559905,0.7263220481575412,2016-10-08T06:09:12Z,7,2.327050769942857
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1050,6.475057489346396,-1.418921692809858e-4,0.8914986011842428,0.4163322689592227,2016-10-08T06:29:11Z,7,2.3305411979
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1060,6.668152243511052,-5.656872794113444e-5,0.9330229202136305,-0.10509337799304119,2016-10-08T06:49:09Z,7,2.2588484447571426
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1070,4.739883663815773,0.0011554987763158337,0.3436439440472375,0.5882637400706595,2016-10-08T07:09:05Z,7,1.8967028552571428
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1080,6.396084670734277,3.929975351398791e-4,0.8651290195922982,0.8440710506943897,2016-10-08T07:29:05Z,7,2.192339684957143
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1090,7.304050857447569,-2.436650230768808e-4,0.9314360769934438,0.33115909762774587,2016-10-08T07:49:04Z,7,2.2969278812142857
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1100,8.283233743466672,2.0406271366666174e-4,0.6082440479044046,-0.04002999610027724,2016-10-08T08:09:02Z,9,2.1523695820777777
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1110,6.038135361408039,3.558747548851827e-4,0.32299030372662807,0.37148260520425025,2016-10-08T08:28:59Z,7,1.947383294014286
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1120,9.411706307058829,9.131718235300274e-5,0.8628258672566996,0.4588415574132627,2016-10-08T08:49:01Z,7,2.396582556442857
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1130,6.575415395569874,7.522397205882608e-4,0.7659707001842855,0.9129693168621809,2016-10-08T09:08:57Z,7,2.0914239046714282
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1140,7.439855859473678,0.0010378957501253005,0.8618801797423562,0.797109699421976,2016-10-08T09:28:56Z,10,2.13993905818
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1150,7.5964998873983856,5.978033943089545e-4,0.7755823074439608,0.0967540912979139,2016-10-08T09:48:55Z,9,2.1693929254666666
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1160,6.314570344078958,5.721947763158504e-4,0.5697200330667733,0.846036071461679,2016-10-08T10:08:52Z,7,2.024498501485714
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1170,6.642975423639597,7.582914123674524e-4,0.7291422541439129,0.8898913280189507,2016-10-08T10:28:50Z,7,2.1143339530857146
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1181,6.198687917385171,0.001176609963250928,0.6155839383734008,0.887000737248627,2016-10-08T10:48:48Z,7,2.0580953354571427
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1191,7.477965357647068,-5.361785947710995e-5,0.9082184685153353,-0.07001733572953395,2016-10-08T11:08:48Z,7,2.289813267514286
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1201,6.822396260821679,2.2701971993006848e-4,0.7741857505270805,0.5663860764247799,2016-10-08T11:28:45Z,7,2.1305279860857143
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1212,8.203055199222739,-1.416038561136632e-4,0.8034334763295952,-0.1506485420770407,2016-10-08T11:48:45Z,8,2.2802346017875
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1222,7.544448988127211,-4.5502332146452826e-7,0.8367283941705468,-0.1999956887271228,2016-10-08T12:08:42Z,7,2.2045310805000002
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1232,7.515755825657902,-3.5620556578933125e-4,0.8069504269224977,0.3448885230163722,2016-10-08T12:28:41Z,7,2.218173941114286
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1242,7.298695725657898,-0.0010213359407894057,0.793309217467412,0.567600984887376,2016-10-08T12:48:40Z,7,2.215484968142857
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1252,8.096597848693195,-0.0010598942568181453,0.9061624465553991,0.6478406893511461,2016-10-08T13:08:38Z,7,2.270648989657143
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1262,7.695886290915038,-7.210835450980207e-4,0.9074039533566669,0.563972359942726,2016-10-08T13:28:37Z,7,2.293224739885714
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1272,7.042239134309215,-2.8046952894731974e-4,0.8430245151501288,0.18049800189776055,2016-10-08T13:48:35Z,7,2.2201161065
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1282,8.17199985013073,-3.733657921567434e-4,0.9082530922764318,0.4352947800663568,2016-10-08T14:08:34Z,7,2.3098295945714287
C7,CPCRW,sat_I,0,5.44,367.98,105.91,322.5,213,IMMEDIATE_SATURATION,7,605.26,10,197,1292,5.916552298026305,-1.4656613815788538e-4,0.361656264242569,0.08468082791236309,2016-10-08T14:28:30Z,7,1.9429192825714285
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,902,28.560709631182,5.740629457113873e-4,0.6711651554644831,-0.07890173811466239,2016-10-08T01:33:34Z,9,1.9627025569
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,912,4.545569031672571,0.0014157488807827955,0.8571437122693981,6.714878055532614e-4,2016-10-08T01:53:30Z,6,1.8732770309333333
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,922,3.5177526524911147,0.0011868892491102838,0.7961243806040015,0.22641661276173142,2016-10-08T02:13:28Z,6,1.8864111618000001
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,932,2.8473483789705982,5.96926579411811e-4,0.7466439193759149,0.49865645972644157,2016-10-08T02:33:28Z,10,1.9676154056400001
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,942,2.3420599159210505,3.455975263158683e-4,0.6485304509210923,0.28181976763449135,2016-10-08T02:53:26Z,8,1.9033430334375
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,952,2.4420712796186774,1.2471961843221665e-4,0.9156645410613098,0.05467781662353133,2016-10-08T03:13:26Z,7,2.1844467408285713
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,962,2.84166849872513,2.5575931593629594e-4,0.9036410336885182,0.5351525275656466,2016-10-08T03:33:23Z,7,2.1035774864857144
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,972,3.8924948662499945,4.3904420312501174e-4,0.8181179230244703,-0.016408664441099674,2016-10-08T03:53:22Z,9,1.9929499090666667
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,982,3.660877366937909,6.372300524625521e-4,0.9315613523414843,0.6894669651950486,2016-10-08T04:13:20Z,10,2.02587578971
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,992,3.37275430637868,1.957495858456707e-4,0.8731348362746025,0.9168663974584879,2016-10-08T04:33:18Z,7,2.0536096458857145
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,1002,3.2267299141544172,0.0011343067731617734,0.7153112804643975,0.6972747131947612,2016-10-08T04:53:14Z,7,1.7127343216285713
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,1012,3.962096147153023,0.0012766827526689158,0.5896065947502452,0.6513117136426754,2016-10-08T05:13:13Z,6,1.7989043326666667
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,1022,3.7427660784926653,-1.7614580680143924e-4,0.937567719306794,0.3539034423252828,2016-10-08T05:33:14Z,7,2.1642057551857143
C8,CPCRW,sat_I,2,5.22,255.05,109.05,228.29,214,IMMEDIATE_SATURATION,8,539.8,10,197,1032,3.3653307427631742,2.656498618421449e-4,0.6104594224585775,0.6150587718348279,2016-10-08T05:53:12Z,7,1.974260435557143
